Ranker Feature Importance (Gain) - ORIGINAL
========================================
MPNet+Numberbatch_sim_group_ambiguity        : 1232.9337
MPNet+Numberbatch_sim_min_in                 : 256.7541
MultiSense_sim_min_in                        : 89.5409
MPNet+Numberbatch_sim_var_in                 : 69.1205
MultiSense_sim_second_max_out                : 55.2909
WordNet_sim_group_ambiguity                  : 38.3976
MPNet+Numberbatch_sim_separation             : 32.9146
WordNet_sim_second_max_out                   : 28.5692
MultiSense_sim_separation                    : 25.0961
WordNet_sim_avg_top3_out                     : 15.9670
GloVe_sim_second_max_out                     : 14.6067
MultiSense_sim_mean_in                       : 10.2279
WordNet_sim_mean_in                          : 8.4550
MultiSense_sim_group_ambiguity               : 8.3805
Datamuse_sim_max_out                         : 8.3633
Phonetic_sim_group_ambiguity                 : 8.2045
PairContext_sim_mean_in                      : 7.4213
MPNet+Numberbatch_sim_second_max_out         : 7.0223
Phonetic_sim_avg_top3_out                    : 0.0000
Phonetic_sim_triangle_score                  : 0.0000
GridDatamuseUniqueness_sim_triangle_score    : 0.0000
Phonetic_sim_max_out                         : 0.0000
Phonetic_sim_second_max_out                  : 0.0000
Phonetic_sim_separation                      : 0.0000
Morphological_sim_min_in                     : 0.0000
Phonetic_sim_var_in                          : 0.0000
Phonetic_sim_min_in                          : 0.0000
Phonetic_sim_mean_in                         : 0.0000
Morphological_sim_mean_in                    : 0.0000
Morphological_sim_avg_top3_out               : 0.0000
Morphological_sim_var_in                     : 0.0000
Morphological_sim_max_out                    : 0.0000
Morphological_sim_separation                 : 0.0000
Morphological_sim_second_max_out             : 0.0000
Lexical_sim_group_ambiguity                  : 0.0000
Morphological_sim_group_ambiguity            : 0.0000
Morphological_sim_triangle_score             : 0.0000
MultiSense_sim_var_in                        : 0.0000
MultiSense_sim_max_out                       : 0.0000
MultiSense_sim_avg_top3_out                  : 0.0000
MultiSense_sim_triangle_score                : 0.0000
PairContext_sim_min_in                       : 0.0000
Lexical_sim_triangle_score                   : 0.0000
Lexical_sim_min_in                           : 0.0000
Lexical_sim_avg_top3_out                     : 0.0000
WordNet_sim_max_out                          : 0.0000
MPNet+Numberbatch_sim_max_out                : 0.0000
MPNet+Numberbatch_sim_avg_top3_out           : 0.0000
MPNet+Numberbatch_sim_triangle_score         : 0.0000
MPNet_sim_mean_in                            : 0.0000
MPNet_sim_min_in                             : 0.0000
MPNet_sim_var_in                             : 0.0000
MPNet_sim_max_out                            : 0.0000
MPNet_sim_separation                         : 0.0000
MPNet_sim_second_max_out                     : 0.0000
MPNet_sim_avg_top3_out                       : 0.0000
MPNet_sim_group_ambiguity                    : 0.0000
MPNet_sim_triangle_score                     : 0.0000
WordNet_sim_min_in                           : 0.0000
WordNet_sim_var_in                           : 0.0000
WordNet_sim_separation                       : 0.0000
Lexical_sim_second_max_out                   : 0.0000
WordNet_sim_triangle_score                   : 0.0000
GloVe_sim_mean_in                            : 0.0000
GloVe_sim_min_in                             : 0.0000
GloVe_sim_var_in                             : 0.0000
GloVe_sim_max_out                            : 0.0000
GloVe_sim_separation                         : 0.0000
GloVe_sim_avg_top3_out                       : 0.0000
GloVe_sim_group_ambiguity                    : 0.0000
GloVe_sim_triangle_score                     : 0.0000
Lexical_sim_mean_in                          : 0.0000
PairContext_sim_max_out                      : 0.0000
Lexical_sim_var_in                           : 0.0000
Lexical_sim_max_out                          : 0.0000
Lexical_sim_separation                       : 0.0000
PairContext_sim_var_in                       : 0.0000
PairContext_sim_separation                   : 0.0000
GridDatamuseUniqueness_sim_group_ambiguity   : 0.0000
GridPropertyUniqueness_sim_group_ambiguity   : 0.0000
GridPropertyUniqueness_sim_second_max_out    : 0.0000
GridPropertyUniqueness_sim_separation        : 0.0000
GridPropertyUniqueness_sim_max_out           : 0.0000
GridPropertyUniqueness_sim_var_in            : 0.0000
GridPropertyUniqueness_sim_min_in            : 0.0000
GridPropertyUniqueness_sim_mean_in           : 0.0000
WikipediaCategories_sim_triangle_score       : 0.0000
WikipediaCategories_sim_group_ambiguity      : 0.0000
WikipediaCategories_sim_avg_top3_out         : 0.0000
WikipediaCategories_sim_second_max_out       : 0.0000
WikipediaCategories_sim_separation           : 0.0000
WikipediaCategories_sim_max_out              : 0.0000
WikipediaCategories_sim_var_in               : 0.0000
WikipediaCategories_sim_min_in               : 0.0000
WikipediaCategories_sim_mean_in              : 0.0000
GridPropertyUniqueness_sim_avg_top3_out      : 0.0000
GridPropertyUniqueness_sim_triangle_score    : 0.0000
ConceptNet_sim_group_ambiguity               : 0.0000
GridCategoryUniqueness_sim_mean_in           : 0.0000
GridDatamuseUniqueness_sim_avg_top3_out      : 0.0000
GridDatamuseUniqueness_sim_second_max_out    : 0.0000
GridDatamuseUniqueness_sim_separation        : 0.0000
GridDatamuseUniqueness_sim_max_out           : 0.0000
GridDatamuseUniqueness_sim_var_in            : 0.0000
GridDatamuseUniqueness_sim_min_in            : 0.0000
GridDatamuseUniqueness_sim_mean_in           : 0.0000
GridCategoryUniqueness_sim_triangle_score    : 0.0000
GridCategoryUniqueness_sim_group_ambiguity   : 0.0000
GridCategoryUniqueness_sim_avg_top3_out      : 0.0000
GridCategoryUniqueness_sim_second_max_out    : 0.0000
GridCategoryUniqueness_sim_separation        : 0.0000
GridCategoryUniqueness_sim_max_out           : 0.0000
GridCategoryUniqueness_sim_var_in            : 0.0000
GridCategoryUniqueness_sim_min_in            : 0.0000
ConceptNet_sim_triangle_score                : 0.0000
ConceptNet_sim_avg_top3_out                  : 0.0000
PairContext_sim_second_max_out               : 0.0000
WikiData_sim_separation                      : 0.0000
WikiData_sim_var_in                          : 0.0000
WikiData_sim_min_in                          : 0.0000
WikiData_sim_mean_in                         : 0.0000
TemplateCtx_sim_triangle_score               : 0.0000
TemplateCtx_sim_group_ambiguity              : 0.0000
TemplateCtx_sim_avg_top3_out                 : 0.0000
TemplateCtx_sim_second_max_out               : 0.0000
TemplateCtx_sim_separation                   : 0.0000
TemplateCtx_sim_max_out                      : 0.0000
TemplateCtx_sim_var_in                       : 0.0000
TemplateCtx_sim_min_in                       : 0.0000
TemplateCtx_sim_mean_in                      : 0.0000
PairContext_sim_triangle_score               : 0.0000
PairContext_sim_group_ambiguity              : 0.0000
PairContext_sim_avg_top3_out                 : 0.0000
WikiData_sim_max_out                         : 0.0000
WikiData_sim_second_max_out                  : 0.0000
ConceptNet_sim_second_max_out                : 0.0000
WikiData_sim_avg_top3_out                    : 0.0000
ConceptNet_sim_separation                    : 0.0000
ConceptNet_sim_max_out                       : 0.0000
ConceptNet_sim_var_in                        : 0.0000
ConceptNet_sim_min_in                        : 0.0000
ConceptNet_sim_mean_in                       : 0.0000
Datamuse_sim_triangle_score                  : 0.0000
Datamuse_sim_group_ambiguity                 : 0.0000
Datamuse_sim_avg_top3_out                    : 0.0000
Datamuse_sim_second_max_out                  : 0.0000
Datamuse_sim_separation                      : 0.0000
Datamuse_sim_var_in                          : 0.0000
Datamuse_sim_min_in                          : 0.0000
Datamuse_sim_mean_in                         : 0.0000
WikiData_sim_triangle_score                  : 0.0000
WikiData_sim_group_ambiguity                 : 0.0000
MPNet+Numberbatch_sim_mean_in                : 0.0000
