========================================================================
  FEATURE IMPORTANCES  (Gini impurity decrease, normalised to sum=1)
========================================================================
Rank  Feature                                         RF     GBM     Avg
------------------------------------------------------------------------
1     MPNet+Numberbatch_sim_min_in                0.1048  0.4046  0.2547
2     MultiSense_sim_min_in                       0.0585  0.1002  0.0793
3     MPNet+Numberbatch_sim_group_ambiguity       0.0513  0.0900  0.0706
4     MultiSense_sim_second_max_out               0.0261  0.0450  0.0355
5     MPNet+Numberbatch_sim_separation            0.0309  0.0292  0.0300
6     MultiSense_sim_group_ambiguity              0.0372  0.0201  0.0287
7     MPNet+Numberbatch_sim_second_max_out        0.0220  0.0285  0.0252
8     WordNet_sim_mean_in                         0.0240  0.0229  0.0234
9     MPNet+Numberbatch_sim_mean_in               0.0374  0.0013  0.0194
10    MultiSense_sim_separation                   0.0287  0.0096  0.0192
11    MultiSense_sim_mean_in                      0.0299  0.0060  0.0179
12    WordNet_sim_avg_top3_out                    0.0141  0.0169  0.0155
13    WordNet_sim_second_max_out                  0.0136  0.0157  0.0146
14    MultiSense_sim_avg_top3_out                 0.0189  0.0076  0.0133
15    WordNet_sim_min_in                          0.0154  0.0107  0.0131
16    TemplateCtx_sim_group_ambiguity             0.0238  0.0021  0.0129
17    MPNet_sim_group_ambiguity                   0.0208  0.0038  0.0123
18    MPNet_sim_min_in                            0.0179  0.0050  0.0114
19    MPNet+Numberbatch_sim_var_in                0.0136  0.0084  0.0110
20    WordNet_sim_separation                      0.0126  0.0071  0.0098
21    TemplateCtx_sim_min_in                      0.0161  0.0015  0.0088
22    TemplateCtx_sim_mean_in                     0.0166  0.0002  0.0084
23    GloVe_sim_mean_in                           0.0128  0.0039  0.0083
24    MultiSense_sim_var_in                       0.0104  0.0061  0.0083
25    MPNet_sim_separation                        0.0143  0.0017  0.0080
26    WordNet_sim_group_ambiguity                 0.0100  0.0060  0.0080
27    TemplateCtx_sim_separation                  0.0122  0.0027  0.0075
28    MPNet_sim_mean_in                           0.0129  0.0012  0.0071
29    MPNet+Numberbatch_sim_avg_top3_out          0.0128  0.0012  0.0070
30    GloVe_sim_group_ambiguity                   0.0109  0.0027  0.0068
31    GloVe_sim_second_max_out                    0.0058  0.0065  0.0061
32    WordNet_sim_max_out                         0.0098  0.0013  0.0056
33    GridDatamuseUniqueness_sim_group_ambiguity  0.0046  0.0064  0.0055
34    MPNet+Numberbatch_sim_max_out               0.0054  0.0055  0.0055
35    MultiSense_sim_max_out                      0.0078  0.0026  0.0052
36    PairContext_sim_mean_in                     0.0039  0.0062  0.0050
37    GloVe_sim_separation                        0.0066  0.0029  0.0047
38    Phonetic_sim_group_ambiguity                0.0042  0.0047  0.0045
39    MPNet_sim_second_max_out                    0.0070  0.0017  0.0044
40    GloVe_sim_max_out                           0.0059  0.0028  0.0044
41    WordNet_sim_var_in                          0.0052  0.0034  0.0043
42    MPNet_sim_var_in                            0.0072  0.0014  0.0043
43    Phonetic_sim_min_in                         0.0039  0.0045  0.0042
44    Lexical_sim_group_ambiguity                 0.0037  0.0047  0.0042
45    TemplateCtx_sim_second_max_out              0.0058  0.0025  0.0041
46    GloVe_sim_min_in                            0.0058  0.0025  0.0041
47    GloVe_sim_avg_top3_out                      0.0060  0.0022  0.0041
48    GloVe_sim_var_in                            0.0048  0.0029  0.0039
49    TemplateCtx_sim_max_out                     0.0042  0.0035  0.0038
50    Datamuse_sim_min_in                         0.0038  0.0031  0.0034
51    TemplateCtx_sim_var_in                      0.0063  0.0004  0.0034
52    PairContext_sim_separation                  0.0040  0.0026  0.0033
53    Datamuse_sim_group_ambiguity                0.0040  0.0026  0.0033
54    PairContext_sim_group_ambiguity             0.0036  0.0029  0.0032
55    PairContext_sim_min_in                      0.0038  0.0026  0.0032
56    Lexical_sim_min_in                          0.0037  0.0027  0.0032
57    Lexical_sim_mean_in                         0.0035  0.0028  0.0032
58    GridDatamuseUniqueness_sim_mean_in          0.0037  0.0025  0.0031
59    Datamuse_sim_mean_in                        0.0034  0.0023  0.0028
60    TemplateCtx_sim_avg_top3_out                0.0042  0.0013  0.0027
61    Datamuse_sim_var_in                         0.0031  0.0023  0.0027
62    Datamuse_sim_max_out                        0.0034  0.0019  0.0027
63    Phonetic_sim_second_max_out                 0.0034  0.0019  0.0027
64    GridDatamuseUniqueness_sim_avg_top3_out     0.0034  0.0018  0.0026
65    MPNet_sim_avg_top3_out                      0.0037  0.0015  0.0026
66    GridDatamuseUniqueness_sim_separation       0.0038  0.0013  0.0025
67    GridDatamuseUniqueness_sim_min_in           0.0035  0.0016  0.0025
68    Lexical_sim_max_out                         0.0033  0.0018  0.0025
69    PairContext_sim_avg_top3_out                0.0033  0.0017  0.0025
70    Datamuse_sim_separation                     0.0033  0.0016  0.0025
71    Phonetic_sim_max_out                        0.0034  0.0016  0.0025
72    Phonetic_sim_var_in                         0.0032  0.0017  0.0024
73    Lexical_sim_second_max_out                  0.0034  0.0014  0.0024
74    GridDatamuseUniqueness_sim_var_in           0.0031  0.0015  0.0023
75    Lexical_sim_separation                      0.0038  0.0007  0.0022
