========================================================================
  FEATURE IMPORTANCES  (Gini impurity decrease, normalised to sum=1)
========================================================================
Rank  Feature                                         RF     GBM     Avg
------------------------------------------------------------------------
1     MPNet+Numberbatch_sim_min_in                0.0981  0.3325  0.2153
2     MultiSense_sim_min_in                       0.0668  0.1869  0.1268
3     MPNet+Numberbatch_sim_group_ambiguity       0.0507  0.0631  0.0569
4     MultiSense_sim_avg_top3_out                 0.0375  0.0677  0.0526
5     MPNet+Numberbatch_sim_second_max_out        0.0341  0.0441  0.0391
6     MultiSense_sim_second_max_out               0.0419  0.0251  0.0335
7     MultiSense_sim_group_ambiguity              0.0377  0.0276  0.0326
8     WordNet_sim_avg_top3_out                    0.0178  0.0330  0.0254
9     MultiSense_sim_mean_in                      0.0353  0.0130  0.0241
10    MPNet+Numberbatch_sim_mean_in               0.0340  0.0086  0.0213
11    MPNet+Numberbatch_sim_separation            0.0305  0.0092  0.0199
12    MPNet+Numberbatch_sim_avg_top3_out          0.0290  0.0102  0.0196
13    MultiSense_sim_separation                   0.0274  0.0104  0.0189
14    WordNet_sim_mean_in                         0.0173  0.0141  0.0157
15    WordNet_sim_min_in                          0.0155  0.0143  0.0149
16    GloVe_sim_mean_in                           0.0163  0.0071  0.0117
17    TemplateCtx_sim_min_in                      0.0192  0.0013  0.0102
18    WordNet_sim_second_max_out                  0.0117  0.0071  0.0094
19    MPNet_sim_min_in                            0.0171  0.0014  0.0093
20    MPNet_sim_group_ambiguity                   0.0169  0.0010  0.0090
21    GloVe_sim_min_in                            0.0072  0.0104  0.0088
22    MPNet+Numberbatch_sim_var_in                0.0091  0.0072  0.0082
23    MultiSense_sim_max_out                      0.0153  0.0005  0.0079
24    WordNet_sim_separation                      0.0106  0.0040  0.0073
25    MultiSense_sim_var_in                       0.0093  0.0036  0.0064
26    TemplateCtx_sim_group_ambiguity             0.0111  0.0015  0.0063
27    GloVe_sim_separation                        0.0094  0.0029  0.0061
28    TemplateCtx_sim_mean_in                     0.0115  0.0006  0.0060
29    GloVe_sim_second_max_out                    0.0062  0.0052  0.0057
30    MPNet+Numberbatch_sim_max_out               0.0099  0.0016  0.0057
31    GloVe_sim_avg_top3_out                      0.0077  0.0037  0.0057
32    Lexical_sim_min_in                          0.0038  0.0076  0.0057
33    GloVe_sim_group_ambiguity                   0.0103  0.0009  0.0056
34    MPNet_sim_mean_in                           0.0097  0.0009  0.0053
35    TemplateCtx_sim_second_max_out              0.0087  0.0009  0.0048
36    WordNet_sim_group_ambiguity                 0.0077  0.0014  0.0046
37    WordNet_sim_max_out                         0.0089  0.0003  0.0046
38    TemplateCtx_sim_separation                  0.0085  0.0003  0.0044
39    Phonetic_sim_min_in                         0.0035  0.0052  0.0043
40    MPNet_sim_avg_top3_out                      0.0079  0.0006  0.0042
41    MPNet_sim_separation                        0.0075  0.0008  0.0041
42    MPNet_sim_second_max_out                    0.0059  0.0020  0.0040
43    GloVe_sim_max_out                           0.0060  0.0011  0.0036
44    TemplateCtx_sim_var_in                      0.0054  0.0017  0.0035
45    Phonetic_sim_group_ambiguity                0.0033  0.0031  0.0032
46    GloVe_sim_var_in                            0.0047  0.0018  0.0032
47    WordNet_sim_var_in                          0.0044  0.0018  0.0031
48    GridDatamuseUniqueness_sim_mean_in          0.0028  0.0031  0.0029
49    TemplateCtx_sim_max_out                     0.0035  0.0022  0.0029
50    GridDatamuseUniqueness_sim_group_ambiguity  0.0031  0.0025  0.0028
51    TemplateCtx_sim_avg_top3_out                0.0047  0.0007  0.0027
52    MPNet_sim_var_in                            0.0044  0.0005  0.0024
53    Phonetic_sim_mean_in                        0.0034  0.0013  0.0024
54    Phonetic_sim_avg_top3_out                   0.0025  0.0021  0.0023
55    PairContext_sim_min_in                      0.0026  0.0019  0.0023
56    MPNet_sim_max_out                           0.0036  0.0010  0.0023
57    Lexical_sim_second_max_out                  0.0024  0.0020  0.0022
58    PairContext_sim_second_max_out              0.0025  0.0019  0.0022
59    GridDatamuseUniqueness_sim_max_out          0.0028  0.0016  0.0022
60    GridDatamuseUniqueness_sim_second_max_out   0.0028  0.0015  0.0022
61    Datamuse_sim_group_ambiguity                0.0031  0.0012  0.0022
62    GridDatamuseUniqueness_sim_separation       0.0032  0.0011  0.0021
63    GridDatamuseUniqueness_sim_var_in           0.0022  0.0019  0.0021
64    Datamuse_sim_min_in                         0.0033  0.0008  0.0020
65    Datamuse_sim_second_max_out                 0.0030  0.0010  0.0020
66    Phonetic_sim_second_max_out                 0.0024  0.0016  0.0020
67    PairContext_sim_mean_in                     0.0023  0.0017  0.0020
68    Lexical_sim_group_ambiguity                 0.0029  0.0010  0.0020
69    Lexical_sim_var_in                          0.0023  0.0016  0.0019
70    GridDatamuseUniqueness_sim_avg_top3_out     0.0028  0.0010  0.0019
71    Phonetic_sim_separation                     0.0030  0.0008  0.0019
72    Datamuse_sim_max_out                        0.0028  0.0009  0.0019
73    Lexical_sim_separation                      0.0029  0.0007  0.0018
74    Datamuse_sim_var_in                         0.0023  0.0013  0.0018
75    Datamuse_sim_avg_top3_out                   0.0035  0.0000  0.0017
76    PairContext_sim_group_ambiguity             0.0024  0.0010  0.0017
77    Phonetic_sim_max_out                        0.0027  0.0007  0.0017
78    GridDatamuseUniqueness_sim_min_in           0.0029  0.0005  0.0017
79    Lexical_sim_avg_top3_out                    0.0024  0.0008  0.0016
80    PairContext_sim_separation                  0.0025  0.0007  0.0016
81    Datamuse_sim_mean_in                        0.0027  0.0004  0.0016
82    PairContext_sim_var_in                      0.0022  0.0009  0.0016
83    Datamuse_sim_separation                     0.0026  0.0004  0.0015
84    Lexical_sim_mean_in                         0.0028  0.0002  0.0015
85    Phonetic_sim_var_in                         0.0022  0.0008  0.0015
86    PairContext_sim_avg_top3_out                0.0022  0.0006  0.0014
87    Lexical_sim_max_out                         0.0021  0.0004  0.0013
88    PairContext_sim_max_out                     0.0021  0.0002  0.0012
89    Morphological_sim_min_in                    0.0013  0.0003  0.0008
90    Morphological_sim_second_max_out            0.0010  0.0006  0.0008
91    Morphological_sim_group_ambiguity           0.0012  0.0002  0.0007
92    Morphological_sim_mean_in                   0.0011  0.0003  0.0007
93    Morphological_sim_avg_top3_out              0.0010  0.0002  0.0006
94    Morphological_sim_max_out                   0.0011  0.0001  0.0006
95    Morphological_sim_separation                0.0011  0.0000  0.0006
96    Morphological_sim_var_in                    0.0007  0.0001  0.0004
97    WikiData_sim_separation                     0.0003  0.0003  0.0003
98    MultiSense_sim_triangle_score               0.0005  0.0000  0.0003
99    Lexical_sim_triangle_score                  0.0003  0.0003  0.0003
100   WordNet_sim_triangle_score                  0.0004  0.0001  0.0003
101   WikipediaCategories_sim_mean_in             0.0002  0.0003  0.0002
102   PairContext_sim_triangle_score              0.0004  0.0001  0.0002
103   WikiData_sim_mean_in                        0.0003  0.0002  0.0002
104   MPNet+Numberbatch_sim_triangle_score        0.0004  0.0000  0.0002
105   GloVe_sim_triangle_score                    0.0003  0.0001  0.0002
106   MPNet_sim_triangle_score                    0.0003  0.0000  0.0002
107   Phonetic_sim_triangle_score                 0.0003  0.0000  0.0002
108   TemplateCtx_sim_triangle_score              0.0003  0.0000  0.0002
109   GridPropertyUniqueness_sim_separation       0.0002  0.0001  0.0002
110   GridPropertyUniqueness_sim_mean_in          0.0002  0.0001  0.0002
111   WikiData_sim_second_max_out                 0.0002  0.0001  0.0002
112   WikiData_sim_min_in                         0.0003  0.0000  0.0001
113   Datamuse_sim_triangle_score                 0.0003  0.0000  0.0001
114   GridPropertyUniqueness_sim_group_ambiguity  0.0002  0.0001  0.0001
115   WikiData_sim_group_ambiguity                0.0002  0.0000  0.0001
116   WikiData_sim_max_out                        0.0002  0.0000  0.0001
117   GridCategoryUniqueness_sim_max_out          0.0001  0.0001  0.0001
118   GridDatamuseUniqueness_sim_triangle_score   0.0002  0.0000  0.0001
119   WikipediaCategories_sim_group_ambiguity     0.0002  0.0000  0.0001
120   WikiData_sim_avg_top3_out                   0.0002  0.0000  0.0001
121   WikipediaCategories_sim_min_in              0.0001  0.0001  0.0001
122   WikipediaCategories_sim_separation          0.0002  0.0000  0.0001
123   WikiData_sim_var_in                         0.0001  0.0001  0.0001
124   GridCategoryUniqueness_sim_group_ambiguity  0.0001  0.0000  0.0001
125   GridPropertyUniqueness_sim_min_in           0.0001  0.0000  0.0001
126   WikipediaCategories_sim_max_out             0.0001  0.0000  0.0001
127   GridPropertyUniqueness_sim_avg_top3_out     0.0001  0.0000  0.0001
128   GridPropertyUniqueness_sim_max_out          0.0001  0.0000  0.0001
129   WikipediaCategories_sim_avg_top3_out        0.0001  0.0000  0.0001
130   WikipediaCategories_sim_second_max_out      0.0001  0.0000  0.0001
131   WikipediaCategories_sim_var_in              0.0001  0.0000  0.0000
132   GridPropertyUniqueness_sim_second_max_out   0.0001  0.0000  0.0000
133   GridCategoryUniqueness_sim_separation       0.0001  0.0000  0.0000
134   GridCategoryUniqueness_sim_min_in           0.0001  0.0000  0.0000
135   GridPropertyUniqueness_sim_var_in           0.0001  0.0000  0.0000
136   GridCategoryUniqueness_sim_mean_in          0.0001  0.0000  0.0000
137   GridCategoryUniqueness_sim_var_in           0.0001  0.0000  0.0000
138   GridCategoryUniqueness_sim_avg_top3_out     0.0001  0.0000  0.0000
139   GridCategoryUniqueness_sim_second_max_out   0.0001  0.0000  0.0000
140   Morphological_sim_triangle_score            0.0000  0.0000  0.0000
141   GridCategoryUniqueness_sim_triangle_score   0.0000  0.0000  0.0000
142   GridPropertyUniqueness_sim_triangle_score   0.0000  0.0000  0.0000
143   ConceptNet_sim_separation                   0.0000  0.0000  0.0000
144   ConceptNet_sim_avg_top3_out                 0.0000  0.0000  0.0000
145   ConceptNet_sim_second_max_out               0.0000  0.0000  0.0000
146   ConceptNet_sim_min_in                       0.0000  0.0000  0.0000
147   ConceptNet_sim_var_in                       0.0000  0.0000  0.0000
148   WikiData_sim_triangle_score                 0.0000  0.0000  0.0000
149   ConceptNet_sim_mean_in                      0.0000  0.0000  0.0000
150   ConceptNet_sim_max_out                      0.0000  0.0000  0.0000
151   WikipediaCategories_sim_triangle_score      0.0000  0.0000  0.0000
152   ConceptNet_sim_triangle_score               0.0000  0.0000  0.0000
153   ConceptNet_sim_group_ambiguity              0.0000  0.0000  0.0000
========================================================================
RF  importances sum  : 1.000000
GBM importances sum  : 1.000000
