========================================================================
  FEATURE IMPORTANCES  (Gini impurity decrease, normalised to sum=1)
========================================================================
Rank  Feature                                         RF     GBM     Avg
------------------------------------------------------------------------
1     MPNet+Numberbatch_sim_min_in                0.1090  0.4291  0.2691
2     MultiSense_sim_min_in                       0.0719  0.0982  0.0850
3     MPNet+Numberbatch_sim_group_ambiguity       0.0648  0.0685  0.0666
4     MultiSense_sim_group_ambiguity              0.0488  0.0454  0.0471
5     MultiSense_sim_second_max_out               0.0279  0.0359  0.0319
6     MultiSense_sim_separation                   0.0368  0.0157  0.0263
7     MPNet+Numberbatch_sim_second_max_out        0.0256  0.0265  0.0260
8     MultiSense_sim_mean_in                      0.0399  0.0118  0.0258
9     MultiSense_sim_avg_top3_out                 0.0286  0.0185  0.0235
10    MPNet+Numberbatch_sim_mean_in               0.0363  0.0048  0.0206
11    MPNet+Numberbatch_sim_separation            0.0320  0.0077  0.0199
12    WordNet_sim_avg_top3_out                    0.0156  0.0197  0.0176
13    MPNet+Numberbatch_sim_var_in                0.0206  0.0143  0.0175
14    WordNet_sim_min_in                          0.0153  0.0165  0.0159
15    WordNet_sim_mean_in                         0.0168  0.0146  0.0157
16    TemplateCtx_sim_min_in                      0.0245  0.0064  0.0154
17    MPNet_sim_min_in                            0.0227  0.0070  0.0149
18    WordNet_sim_second_max_out                  0.0130  0.0129  0.0129
19    MultiSense_sim_var_in                       0.0144  0.0088  0.0116
20    MPNet+Numberbatch_sim_avg_top3_out          0.0158  0.0060  0.0109
21    GloVe_sim_second_max_out                    0.0092  0.0107  0.0099
22    WordNet_sim_separation                      0.0160  0.0030  0.0095
23    GloVe_sim_group_ambiguity                   0.0110  0.0066  0.0088
24    TemplateCtx_sim_group_ambiguity             0.0157  0.0018  0.0087
25    WordNet_sim_group_ambiguity                 0.0108  0.0063  0.0086
26    TemplateCtx_sim_mean_in                     0.0149  0.0019  0.0084
27    GloVe_sim_mean_in                           0.0100  0.0062  0.0081
28    MPNet_sim_group_ambiguity                   0.0129  0.0029  0.0079
29    GloVe_sim_min_in                            0.0090  0.0062  0.0076
30    MPNet+Numberbatch_sim_max_out               0.0079  0.0062  0.0071
31    TemplateCtx_sim_separation                  0.0125  0.0015  0.0070
32    MPNet_sim_second_max_out                    0.0086  0.0050  0.0068
33    WordNet_sim_var_in                          0.0081  0.0052  0.0067
34    MultiSense_sim_max_out                      0.0095  0.0037  0.0066
35    MPNet_sim_mean_in                           0.0109  0.0020  0.0065
36    GloVe_sim_avg_top3_out                      0.0088  0.0037  0.0062
37    PairContext_sim_min_in                      0.0065  0.0054  0.0059
38    MPNet_sim_separation                        0.0111  0.0005  0.0058
39    TemplateCtx_sim_var_in                      0.0092  0.0023  0.0057
40    GloVe_sim_separation                        0.0086  0.0027  0.0056
41    GloVe_sim_var_in                            0.0079  0.0030  0.0055
42    PairContext_sim_group_ambiguity             0.0065  0.0044  0.0054
43    PairContext_sim_var_in                      0.0061  0.0045  0.0053
44    WordNet_sim_max_out                         0.0081  0.0025  0.0053
45    TemplateCtx_sim_max_out                     0.0055  0.0049  0.0052
46    TemplateCtx_sim_second_max_out              0.0066  0.0033  0.0049
47    PairContext_sim_separation                  0.0066  0.0031  0.0048
48    PairContext_sim_mean_in                     0.0065  0.0030  0.0048
49    MPNet_sim_avg_top3_out                      0.0061  0.0033  0.0047
50    GloVe_sim_max_out                           0.0069  0.0022  0.0045
51    TemplateCtx_sim_avg_top3_out                0.0055  0.0034  0.0045
52    MPNet_sim_var_in                            0.0075  0.0014  0.0044
53    PairContext_sim_second_max_out              0.0053  0.0023  0.0038
54    MPNet_sim_max_out                           0.0054  0.0017  0.0036
55    PairContext_sim_avg_top3_out                0.0054  0.0016  0.0035
56    PairContext_sim_max_out                     0.0054  0.0011  0.0032
57    WordNet_sim_triangle_score                  0.0012  0.0011  0.0012
58    MultiSense_sim_triangle_score               0.0010  0.0005  0.0007
59    MPNet_sim_triangle_score                    0.0008  0.0004  0.0006
60    GloVe_sim_triangle_score                    0.0010  0.0002  0.0006
61    PairContext_sim_triangle_score              0.0010  0.0002  0.0006
62    MPNet+Numberbatch_sim_triangle_score        0.0011  0.0000  0.0005
63    TemplateCtx_sim_triangle_score              0.0008  0.0000  0.0004
========================================================================
RF  importances sum  : 1.000000
GBM importances sum  : 1.000000
