========================================================================
  FEATURE IMPORTANCES  (Gini impurity decrease, normalised to sum=1)
========================================================================
Rank  Feature                                         RF     GBM     Avg
------------------------------------------------------------------------
1     MPNet+Numberbatch_sim_min_in                0.1016  0.4040  0.2528
2     MultiSense_sim_min_in                       0.0592  0.0987  0.0790
3     MPNet+Numberbatch_sim_group_ambiguity       0.0487  0.0698  0.0593
4     MultiSense_sim_group_ambiguity              0.0419  0.0385  0.0402
5     MultiSense_sim_second_max_out               0.0277  0.0313  0.0295
6     MultiSense_sim_mean_in                      0.0402  0.0164  0.0283
7     MultiSense_sim_separation                   0.0309  0.0239  0.0274
8     MPNet+Numberbatch_sim_second_max_out        0.0202  0.0257  0.0230
9     WordNet_sim_mean_in                         0.0220  0.0211  0.0215
10    MultiSense_sim_avg_top3_out                 0.0172  0.0227  0.0200
11    MPNet+Numberbatch_sim_separation            0.0288  0.0076  0.0182
12    MPNet+Numberbatch_sim_mean_in               0.0340  0.0015  0.0178
13    WordNet_sim_avg_top3_out                    0.0121  0.0160  0.0140
14    MPNet+Numberbatch_sim_var_in                0.0160  0.0075  0.0118
15    MPNet_sim_group_ambiguity                   0.0213  0.0013  0.0113
16    WordNet_sim_second_max_out                  0.0109  0.0091  0.0100
17    TemplateCtx_sim_group_ambiguity             0.0174  0.0025  0.0099
18    MPNet_sim_min_in                            0.0163  0.0034  0.0099
19    TemplateCtx_sim_min_in                      0.0174  0.0022  0.0098
20    WordNet_sim_separation                      0.0126  0.0068  0.0097
21    WordNet_sim_min_in                          0.0115  0.0065  0.0090
22    MultiSense_sim_var_in                       0.0108  0.0069  0.0088
23    GloVe_sim_group_ambiguity                   0.0116  0.0053  0.0084
24    WordNet_sim_group_ambiguity                 0.0103  0.0064  0.0083
25    GloVe_sim_second_max_out                    0.0074  0.0080  0.0077
26    GloVe_sim_mean_in                           0.0118  0.0034  0.0076
27    TemplateCtx_sim_mean_in                     0.0135  0.0014  0.0074
28    MPNet_sim_mean_in                           0.0132  0.0003  0.0068
29    MPNet_sim_separation                        0.0127  0.0008  0.0067
30    GloVe_sim_min_in                            0.0074  0.0055  0.0064
31    TemplateCtx_sim_separation                  0.0115  0.0012  0.0063
32    MPNet+Numberbatch_sim_avg_top3_out          0.0105  0.0020  0.0062
33    TemplateCtx_sim_second_max_out              0.0065  0.0056  0.0060
34    GloVe_sim_separation                        0.0087  0.0027  0.0057
35    MPNet+Numberbatch_sim_max_out               0.0062  0.0048  0.0055
36    MultiSense_sim_max_out                      0.0079  0.0029  0.0054
37    WordNet_sim_max_out                         0.0086  0.0017  0.0051
38    Phonetic_sim_min_in                         0.0036  0.0055  0.0046
39    MPNet_sim_second_max_out                    0.0061  0.0030  0.0046
40    TemplateCtx_sim_var_in                      0.0065  0.0026  0.0045
41    TemplateCtx_sim_max_out                     0.0041  0.0045  0.0043
42    MPNet_sim_avg_top3_out                      0.0061  0.0022  0.0042
43    GloVe_sim_avg_top3_out                      0.0055  0.0025  0.0040
44    GridDatamuseUniqueness_sim_group_ambiguity  0.0039  0.0040  0.0040
45    Datamuse_sim_group_ambiguity                0.0038  0.0040  0.0039
46    Lexical_sim_group_ambiguity                 0.0031  0.0043  0.0037
47    Phonetic_sim_group_ambiguity                0.0034  0.0039  0.0037
48    MPNet_sim_var_in                            0.0065  0.0008  0.0036
49    GloVe_sim_var_in                            0.0049  0.0022  0.0036
50    TemplateCtx_sim_avg_top3_out                0.0046  0.0026  0.0036
51    WordNet_sim_var_in                          0.0040  0.0030  0.0035
52    GridDatamuseUniqueness_sim_var_in           0.0031  0.0038  0.0035
53    Lexical_sim_second_max_out                  0.0034  0.0033  0.0034
54    GridDatamuseUniqueness_sim_mean_in          0.0035  0.0031  0.0033
55    PairContext_sim_min_in                      0.0037  0.0029  0.0033
56    GloVe_sim_max_out                           0.0048  0.0017  0.0032
57    PairContext_sim_mean_in                     0.0033  0.0032  0.0032
58    Lexical_sim_var_in                          0.0033  0.0030  0.0031
59    Phonetic_sim_max_out                        0.0032  0.0027  0.0030
60    Lexical_sim_min_in                          0.0031  0.0026  0.0029
61    PairContext_sim_group_ambiguity             0.0029  0.0026  0.0028
62    MPNet_sim_max_out                           0.0038  0.0018  0.0028
63    Datamuse_sim_min_in                         0.0034  0.0018  0.0026
64    Phonetic_sim_var_in                         0.0032  0.0020  0.0026
65    Datamuse_sim_var_in                         0.0030  0.0021  0.0026
66    GridDatamuseUniqueness_sim_min_in           0.0035  0.0016  0.0026
67    GridDatamuseUniqueness_sim_max_out          0.0030  0.0021  0.0026
68    Lexical_sim_avg_top3_out                    0.0036  0.0015  0.0025
69    GridDatamuseUniqueness_sim_separation       0.0037  0.0013  0.0025
70    Datamuse_sim_separation                     0.0034  0.0015  0.0024
71    PairContext_sim_avg_top3_out                0.0028  0.0019  0.0023
72    PairContext_sim_second_max_out              0.0027  0.0020  0.0023
73    Phonetic_sim_mean_in                        0.0036  0.0010  0.0023
74    Datamuse_sim_mean_in                        0.0034  0.0013  0.0023
75    GridDatamuseUniqueness_sim_avg_top3_out     0.0032  0.0013  0.0023
76    Lexical_sim_separation                      0.0033  0.0012  0.0023
77    Phonetic_sim_second_max_out                 0.0029  0.0016  0.0022
78    GridDatamuseUniqueness_sim_second_max_out   0.0028  0.0015  0.0022
79    Phonetic_sim_separation                     0.0037  0.0005  0.0021
80    Datamuse_sim_max_out                        0.0031  0.0010  0.0021
81    Phonetic_sim_avg_top3_out                   0.0031  0.0010  0.0021
82    Datamuse_sim_avg_top3_out                   0.0032  0.0009  0.0021
83    PairContext_sim_separation                  0.0033  0.0007  0.0020
84    Lexical_sim_max_out                         0.0031  0.0007  0.0019
85    PairContext_sim_var_in                      0.0030  0.0007  0.0018
86    Lexical_sim_mean_in                         0.0031  0.0005  0.0018
87    PairContext_sim_max_out                     0.0026  0.0009  0.0018
88    WikipediaCategories_sim_min_in              0.0018  0.0017  0.0018
89    Datamuse_sim_second_max_out                 0.0029  0.0004  0.0016
90    Morphological_sim_mean_in                   0.0017  0.0012  0.0015
91    Morphological_sim_separation                0.0016  0.0006  0.0011
