Feature	Importance (Gain)
MPNet+Numberbatch_sim_group_ambiguity	10981.34743870981
MPNet+Numberbatch_sim_min_in	3570.856943257153
MultiSense_sim_group_ambiguity	2603.1065067648888
MultiSense_sim_min_in	1276.2984238937497
MPNet+Numberbatch_sim_separation	785.1378646716475
MultiSense_sim_second_max_out	585.9088008035906
MultiSense_sim_mean_in	557.8881029943004
MPNet+Numberbatch_sim_var_in	544.5001537622884
MPNet+Numberbatch_sim_second_max_out	521.6733591854572
WordNet_sim_second_max_out	456.1323060579598
WordNet_sim_avg_top3_out	355.0174236688763
WordNet_sim_group_ambiguity	343.2642442929755
WordNet_sim_separation	299.13840799056925
MultiSense_sim_avg_top3_out	274.626207401976
WordNet_sim_mean_in	274.480715748854
MultiSense_sim_var_in	222.20357854664326
MPNet+Numberbatch_sim_mean_in	207.03193774446845
MultiSense_sim_separation	198.36834031902254
WordNet_sim_min_in	169.89800654444844
MPNet+Numberbatch_sim_max_out	151.33136405050755
MPNet_sim_var_in	150.66524762043264
GloVe_sim_mean_in	144.2981764152646
GloVe_sim_second_max_out	130.7946348451078
WordNet_sim_max_out	117.05815845099278
GridDatamuseUniqueness_sim_group_ambiguity	105.10273156850599
MPNet_sim_min_in	97.64030486624688
PairContext_sim_group_ambiguity	88.97636986337602
GridDatamuseUniqueness_sim_var_in	85.05584301892668
GloVe_sim_separation	84.00528618320823
Phonetic_sim_min_in	82.5017274543643
TemplateCtx_sim_var_in	79.02052725479007
WordNet_sim_var_in	76.10563570074737
GloVe_sim_min_in	75.49794819206
GloVe_sim_avg_top3_out	74.29202103987336
PairContext_sim_min_in	74.18246277794242
MPNet+Numberbatch_sim_avg_top3_out	73.89599943906069
GridDatamuseUniqueness_sim_mean_in	71.85370562598109
Phonetic_sim_group_ambiguity	70.13433404115494
GloVe_sim_group_ambiguity	68.91495004389435
GloVe_sim_var_in	68.57312895730138
Phonetic_sim_separation	68.35953072458506
TemplateCtx_sim_max_out	68.07971915602684
PairContext_sim_separation	64.08974209427834
PairContext_sim_second_max_out	63.5072978627868
Phonetic_sim_mean_in	61.89387749135494
MPNet_sim_group_ambiguity	61.34650443866849
PairContext_sim_mean_in	57.52895200776402
MPNet_sim_second_max_out	57.477428616955876
Lexical_sim_min_in	54.44386140629649
TemplateCtx_sim_second_max_out	53.20262164110318
GloVe_sim_max_out	53.150427747517824
TemplateCtx_sim_min_in	52.55751851410605
Datamuse_sim_var_in	52.240269573871046
PairContext_sim_var_in	51.17317856568843
MultiSense_sim_max_out	50.51549074053764
Lexical_sim_var_in	48.79441420547664
GridDatamuseUniqueness_sim_separation	48.693593733012676
Phonetic_sim_avg_top3_out	48.347492097876966
Phonetic_sim_max_out	46.72352956305258
Phonetic_sim_var_in	45.660941964015365
Datamuse_sim_group_ambiguity	45.16985892876983
WikipediaCategories_sim_group_ambiguity	44.85339226573706
GridDatamuseUniqueness_sim_avg_top3_out	44.68252079747617
Lexical_sim_max_out	44.51168765872717
Datamuse_sim_min_in	41.683586955070496
Datamuse_sim_max_out	41.48360106535256
Lexical_sim_mean_in	37.827679535374045
