Game ID,Puzzle Date,Word,Group Name,Group Level,Starting Row,Starting Column

Game ID,Puzzle Date,Word,Group Name,Group Level,Starting Row,Starting Column
1001,2024-10-27,BOND,GOLD ___,3,3,3
1001,2024-10-27,RUSH,GOLD ___,3,1,4
1001,2024-10-27,LEAF,GOLD ___,3,2,1
1001,2024-10-27,MINE,GOLD ___,3,4,2
1001,2024-10-27,COAL,THINGS YOU MINE,0,1,1
1001,2024-10-27,ORE,THINGS YOU MINE,0,3,1
1001,2024-10-27,GEM,THINGS YOU MINE,0,2,3
1001,2024-10-27,SALT,THINGS YOU MINE,0,4,4
1001,2024-10-27,SPEED,SYNONYMS FOR "HASTE",1,1,2
1001,2024-10-27,HURRY,SYNONYMS FOR "HASTE",1,3,4
1001,2024-10-27,CELERITY,SYNONYMS FOR "HASTE",1,4,1
1001,2024-10-27,RUSH,SYNONYMS FOR "HASTE",1,2,2
1001,2024-10-27,SUIT,PARTS OF A DECK OF CARDS,2,1,3
1001,2024-10-27,CLUB,PARTS OF A DECK OF CARDS,2,3,2
1001,2024-10-27,FACE,PARTS OF A DECK OF CARDS,2,2,4
1001,2024-10-27,HEART,PARTS OF A DECK OF CARDS,2,4,3
1002,2024-10-28,SEA,LETTER HOMOPHONES,3,2,4
1002,2024-10-28,WHY,LETTER HOMOPHONES,3,4,3
1002,2024-10-28,ARE,LETTER HOMOPHONES,3,1,1
1002,2024-10-28,QUEUE,LETTER HOMOPHONES,3,3,2
1002,2024-10-28,LAKE,BODY OF WATER,0,1,3
1002,2024-10-28,OCEAN,BODY OF WATER,0,2,1
1002,2024-10-28,RIVER,BODY OF WATER,0,4,1
1002,2024-10-28,SEA,BODY OF WATER,0,3,4
1002,2024-10-28,ROW,THINGS WITH LINES,1,1,4
1002,2024-10-28,QUEUE,THINGS WITH LINES,1,2,3
1002,2024-10-28,STRIPE,THINGS WITH LINES,1,4,2
1002,2024-10-28,RULE,THINGS WITH LINES,1,3,1
1002,2024-10-28,QUERY,SYNONYMS FOR "ASK",2,1,2
1002,2024-10-28,INTERROGATE,SYNONYMS FOR "ASK",2,2,2
1002,2024-10-28,INQUIRE,SYNONYMS FOR "ASK",2,4,4
1002,2024-10-28,QUESTION,SYNONYMS FOR "ASK",2,3,3
1003,2024-10-29,BLUE,___ BIRD,3,1,4
1003,2024-10-29,ROBIN,___ BIRD,3,3,1
1003,2024-10-29,HUMMING,___ BIRD,3,2,3
1003,2024-10-29,MOCKING,___ BIRD,3,4,2
1003,2024-10-29,NAVY,SHADES OF BLUE,0,1,1
1003,2024-10-29,TEAL,SHADES OF BLUE,0,3,3
1003,2024-10-29,COBALT,SHADES OF BLUE,0,4,4
1003,2024-10-29,AZURE,SHADES OF BLUE,0,2,2
1003,2024-10-29,LASH,THINGS THAT FLUTTER,1,1,3
1003,2024-10-29,FLAG,THINGS THAT FLUTTER,1,2,4
1003,2024-10-29,HEART,THINGS THAT FLUTTER,1,3,2
1003,2024-10-29,WING,THINGS THAT FLUTTER,1,4,1
1003,2024-10-29,MIMIC,TERMS FOR COPYING,2,1,2
1003,2024-10-29,PARROT,TERMS FOR COPYING,2,2,1
1003,2024-10-29,APE,TERMS FOR COPYING,2,3,4
1003,2024-10-29,MOCK,TERMS FOR COPYING,2,4,3
1004,2024-10-30,THROW,WHAT "PITCH" MIGHT MEAN,3,2,2
1004,2024-10-30,TAR,WHAT "PITCH" MIGHT MEAN,3,4,1
1004,2024-10-30,SALES,WHAT "PITCH" MIGHT MEAN,3,1,3
1004,2024-10-30,NOTE,WHAT "PITCH" MIGHT MEAN,3,3,4
1004,2024-10-30,RHYTHM,MUSICAL TERMS,0,1,1
1004,2024-10-30,BEAT,MUSICAL TERMS,0,3,2
1004,2024-10-30,CHORD,MUSICAL TERMS,0,2,4
1004,2024-10-30,NOTE,MUSICAL TERMS,0,4,3
1004,2024-10-30,BALL,THINGS THROWN,1,1,4
1004,2024-10-30,DART,THINGS THROWN,1,3,1
1004,2024-10-30,JAVELIN,THINGS THROWN,1,2,3
1004,2024-10-30,DISC,THINGS THROWN,1,4,2
1004,2024-10-30,CLAMMY,SYNONYMS FOR "STICKY",2,1,2
1004,2024-10-30,TACKY,SYNONYMS FOR "STICKY",2,3,3
1004,2024-10-30,GOOEY,SYNONYMS FOR "STICKY",2,2,1
1004,2024-10-30,ADHESIVE,SYNONYMS FOR "STICKY",2,4,4
1005,2024-10-31,HORSE,SEA ___,3,3,1
1005,2024-10-31,LION,SEA ___,3,1,2
